名称	分類	最大数	効果
決闘宣布-○○	固有中立バフ	1	No.25<br>決闘宣布-○○を付与したキャラクターが付与されたキャラクターとマッチ進行時にマッチ威力+1、マッチ回数2ごとにマッチ威力+1（最大3）<br>付与したキャラクターが他の対象にこの効果を付与すれば消滅<br>他のキャラクターの決闘宣布-○○が付与される時は置き換わる
集中攻撃-○○	固有中立バフ	3	No.26<br>集中攻撃-○○を付与したキャラクターが、付与されたキャラクターへスキル使用時、数値によって下記の効果を得る<br>1：マッチ威力+1<br>2：スキル威力+1<br>3：スキル威力+1、ダメージ量+1<br>集中攻撃-○○が付与されたキャラクターに攻撃を的中させることができなければR終了時に消滅
点穴-○○	固有中立バフ	3	No.27<br>点穴-○○を付与したキャラクターが、付与されたキャラクターへスキル使用時、数値によって下記の効果を得る<br>1：火傷付与量+1<br>2：火傷付与量+1、マッチ威力+1<br>3：火傷付与量+1、スキル威力+1 点穴-○○の付与された敵に攻撃を的中させることができなければR終了時に消滅
デリバリーキャリア	固有中立バフ	99	No.34<br>R開始時に3得る<br>10以上ならクイック2を得る<br>20以上ならマッチ威力増加1、斬撃ダメージ量増加2を得る<br>30以上ならデリバリーキャリアの数だけ固定ダメージを受ける（バリア貫通）
探求した知識	固有中立バフ	戦術参照	No.35<br>数値が最後に捨てられたスキルのランクに変動する<br>ディエーチ協会フィクサーの特定スキル威力上昇
12 区産燃料	固有中立バフ	100	No.44<br>特定スキル使用時に燃料が消費される
過熱燃料	固有中立バフ	100	No.42<br>過熱燃料状態で12区産燃料を消費時、代わりに過熱燃料が消費される<br> この燃料を消費時、12区産燃料が消費されたものと判定される
魔弾	固有中立バフ	7	No.74<br>特定スキル使用によって数値が変動<br>[黒炎]<br>最大7<br>デバフ<br>R終了時、（数値x 自分の火傷）だけ傲慢ダメージを受け、消滅
マジカル・アルカナ	固有中立バフ	3	No.77<br>攻撃的中時、破裂を数値-1だけ付与<br>R終了時、数値が3ならSANを25％まで減少し消滅
ヒステリー	固有中立バフ	3	No.77<br>敵味方識別不可になり全ての攻撃スキルが[広域乱射]になる<br>味方に攻撃する時、ダメージ量-5攻撃的中時、破裂を数値-1だけ付与<br>R終了時、SANが最大なら消滅
視線	固有中立バフ	7	No.82<br>与えるダメージと受けるダメージが視線2ごとに+1（最大3）<br>数値が7になると消滅し、軽蔑1を得る
激熱	固有中立バフ	10	No.94<br>R開始時、自分の激熱の数x2だけ火傷を得る<br>攻撃的中時、激熱の数だけ火傷を与える<br>自分か対象が火傷を40以上保有してる状態で攻撃的中時、互いに葬炎して自分の激熱を0にする
刺突爆雷	固有中立バフ	15	No.99<br>刺突爆雷を消費するダイスが破壊不能ダイスかつ破壊されたなら、d値+1<br>特定スキルにて消費
開花E.G.O「壇香梅」	固有中立バフ	10	EX-No.3<br>沈潜状態の敵に与えるダメージ量+1<br>攻撃的中時、沈潜1を付与<br>スキルを使用する度に数値が1増加<br>R終了時に壇香梅x5だけSAN減少（最大45減少）
バトラーの目印	固有中立バフ	10	EX-No.7<br>特定スキルが強化<br>クリティカル攻撃を受けた時、数値1減少
デュラハン	固有中立バフ	3	EX-No.9<br>ダメージ量+3<br>被ダメージ量+3<br>速度d値+1<br>R終了時、次のRにデュラハン1を得る<br>自分が士気低下状態または混乱状態なら消滅<br>R終了時にデュラハンがあるなら、自分のSANが（15-棺の数）だけ減少（最低7）
ワイルドハント	固有中立バフ	1	EX-No.9<br>付与されたRの間、HPが1未満にならない<br>R終了時、最大HPの50％だけHPを回復<br>攻撃により死亡時、ランダムなE.G.O資源を1得る<br>付与されたRの次のR終了時、死亡する
没伏	固有中立バフ	10	EGO-No.68<br>R開始時、没伏の数だけ沈潜を得る<br>攻撃的中時、没伏の数だけ対象に沈潜を付与
埋花針	固有中立バフ	20	EGO-No.80<br>数値5ごとにダメージ量増加1を得る<br> 死亡時、全てのキャラクターに埋花針の数だけ暴食ダメージを与え、破裂5を付与する
弾丸-徹甲弾	固有弾丸	人格参照	No.5<br>銃撃ダイスでマッチする時、対象のマッチ威力-1<br> 消費することで特定戦術の能力が向上
弾丸-氷結弾	固有弾丸	人格参照	No.5<br>銃撃ダイスで攻撃的中時、次のRに武装解除1を付与<br>銃撃ダイスでマッチ勝利時、次のRに麻痺1を付与<br>消費することで特定戦術の能力が向上
弾丸-火炎弾	固有弾丸	人格参照	No.5<br>銃撃ダイスで攻撃的中時、火傷2を付与<br>消費することで特定戦術の能力が向上
弾丸-灼熱推進弾	固有弾丸	人格参照	No.6<br>弾丸を消費するダイスのダメージ量+2<br>自分の速度が6以上なら追加でダメージ量+3<br>消費することで特定戦術の能力が向上
生きた蝶・死んだ蝶	固有弾丸	人格参照	No.75<br>自分の最大弾丸数を2つに分割し生きた蝶・死んだ蝶にする<br>銃撃時、1d2を振り、1なら生きた蝶を、2なら死んだ蝶を消費する<br>消費することで特定戦術の能力が向上
弾丸-虎標弾	固有弾丸	人格参照	EX-No.14<br>-弾丸を消費するダイスのダメージ量+2<br>火傷付与量と振動付与量+1<br>消費することで特定戦術の能力が向上<br>
弾丸-猛虎標弾	固有弾丸	人格参照	EX-No.14<br>-弾丸を消費するダイスのダメージ量+3<br>火傷付与量と振動付与量+2<br>自分の速度が対象より早ければ振動爆発ダメージ量+5<br>消費することで特定戦術の能力が向上<br>
弾丸-魔弾	固有弾丸	人格参照	EGO-No.67<br>銃撃ダイスがあるスキルでマッチ勝利時、火傷3付与 消費することで特定戦術の能力が向上
結束	固有処理	なし	No.17<br>結束スキルを使用する時、他の味方が付与する結束効果を得る
生きた蝶	固有処理	なし	No.75<br>消費時、 SANを1回復
死んだ蝶	固有処理	なし	No.75<br>消費時、対象のSANを1減少
拘束判定	固有処理	なし	No.110<br>これを行うとき、被拘束判定者は50以下が出るまで1d100を振り、（ダイスを振った回数。最大5）<br>d5のダメージを与える
ラ・マンチャランド 理髪師の人格専用効果	固有処理	なし	EX-No.10<br>最大値が30になる<br>血染めの鋏の刃が10以上なら、血染めの鋏の刃Ⅱに変換される<br> 20以上なら、血染めの鋏の刃Ⅲに変換される<br>・血染めの鋏の刃Ⅱ<br>R開始時、ダメージ量増加2、HP回復量増加3、脆弱1を得る<br>特殊スキルに使用される<br>・血染めの鋏の刃Ⅲ<br>R開始時、ダメージ量増加3、HP回復量増加5、脆弱2を得る<br>特殊スキルに使用される
ラ・マンチャランド 神父の人格専用効果	固有処理	なし	EX-No.11<br>最大値が30になる<br>血に染まった手が10以上なら、血に染まった手Ⅱに変換される<br>20以上なら、血に染まった手Ⅲに変換される<br>・血に染まった手Ⅱ<br>R開始時、ダメージ量増加1、HP回復量増加3を得る<br>攻撃的中時に破裂1を付与<br>特殊スキルに使用される<br>・血に染まった手Ⅲ<br>R開始時、ダメージ量増加1、HP回復量増加3を得る<br>攻撃的中時に破裂1と出血1を付与<br>特殊スキルに使用される
ラ・マンチャランド 姫の人格専用効果	固有処理	なし	EX-No.12<br>最大値が30になる<br>数値が10以上なら咲き出す棘Ⅱに変換される<br>数値が20以上なら咲き出す棘Ⅲに変換される<br>・咲き出す棘Ⅱ<br>数値5ごとに保護1を得る（最大3）<br>被ダメージ時、攻撃者へ出血1を付与してから数値1減少<br>スキルの出血付与量と破裂付与量+1<br>咲き出す棘Ⅱが消費され10以下になると前の段階に戻る<br>特殊スキルに使用される<br>・咲き出す棘Ⅲ<br>数値5ごとに保護1を得る（最大5）<br>被ダメージ時、攻撃者へ出血1を付与してから数値1減少<br>破裂爆発で与えるダメージ量+5<br>スキルの出血付与量と破裂付与量+1<br>咲き出す棘Ⅲが消費され20以下になると前の段階に戻る<br>特殊スキルに使用される
